city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
bowen,au,-20.01,148.25,25.0,4.6,78.0,44.0
zaraza,ve,9.35,-65.33,28.19,5.26,62.0,8.0
muscat,om,23.6,58.55,25.0,2.6,41.0,0.0
mayo,ca,63.59,-135.9,7.0,1.0,36.0,90.0
richards bay,za,-28.77,32.06,18.41,1.61,96.0,20.0
binzhou,cn,37.38,117.96,11.94,8.51,100.0,92.0
capela,br,-9.42,-36.08,24.0,4.6,94.0,75.0
bulawayo,zw,-20.16,28.59,13.36,1.71,93.0,0.0
jalu,ly,29.03,21.55,21.24,6.31,34.0,0.0
bikaner,in,28.02,73.32,15.34,2.41,45.0,0.0
tutoia,br,-2.76,-42.27,24.74,2.26,99.0,64.0
cambara,br,-23.05,-50.07,20.31,5.26,51.0,0.0
belyy yar,ru,53.6,91.39,0.0,2.0,73.0,0.0
bac giang,vn,21.27,106.2,25.0,3.6,94.0,75.0
pouembout,nc,-21.12,164.9,26.41,3.56,63.0,56.0
iznoski,ru,54.99,35.31,6.11,10.86,63.0,44.0
jumla,np,29.28,82.18,-1.64,1.06,90.0,0.0
shelopugino,ru,51.65,117.56,8.51,1.96,37.0,0.0
izhma,ru,65.01,53.91,-14.54,1.11,73.0,8.0
opunake,nz,-39.45,173.86,16.19,4.56,91.0,0.0
south lake tahoe,us,38.93,-119.98,25.0,2.6,16.0,1.0
kinchil,mx,20.92,-89.95,32.0,4.1,70.0,75.0
pilikwe,bw,-22.8,27.19,13.91,1.21,77.0,0.0
gariaband,in,20.63,82.06,21.24,1.91,69.0,0.0
gazanjyk,tm,39.24,55.52,12.66,4.11,79.0,80.0
san juan,ar,-31.54,-68.53,23.19,3.41,61.0,0.0
baisha,cn,19.23,109.45,22.51,1.26,92.0,8.0
bealanana,mg,-14.54,48.75,16.06,1.01,97.0,8.0
mahibadhoo,mv,3.78,72.97,28.84,3.06,100.0,88.0
cham,de,49.22,12.67,12.0,2.16,87.0,20.0
palana,ru,59.08,159.95,2.51,2.56,69.0,24.0
hanyang,cn,32.14,105.51,16.36,1.31,80.0,56.0
morgan city,us,29.7,-91.21,23.0,3.6,78.0,5.0
montego bay,jm,18.47,-77.92,28.0,5.7,78.0,40.0
copalillo,mx,18.03,-99.04,32.36,1.01,23.0,12.0
brokopondo,sr,5.06,-54.98,26.0,2.1,88.0,40.0
sanary-sur-mer,fr,43.12,5.8,15.0,1.0,82.0,0.0
sedona,us,34.87,-111.79,24.0,2.1,13.0,1.0
pasni,pk,25.26,63.48,24.44,4.21,97.0,0.0
bemidji,us,47.48,-94.89,15.0,3.1,33.0,1.0
inirida,co,3.87,-67.92,23.34,0.91,97.0,20.0
ilulissat,gl,69.22,-51.1,-4.0,1.21,85.0,92.0
el rosario,sv,13.58,-88.08,38.0,2.1,31.0,20.0
beloye,ua,48.5,39.05,14.19,8.06,48.0,32.0
sagar,in,23.84,78.75,19.96,2.51,30.0,0.0
bima,id,-8.45,118.73,27.09,1.71,89.0,32.0
chinsali,zm,-10.55,32.07,19.59,3.36,56.0,44.0
rocha,uy,-34.48,-54.34,19.19,0.76,94.0,48.0
bogande,bf,12.97,-0.14,23.46,1.16,49.0,8.0
noyabrsk,ru,63.2,75.45,-21.32,1.51,58.0,0.0
camopi,gf,3.17,-52.33,24.66,1.21,90.0,24.0
pingyin,cn,36.28,116.45,18.71,3.76,97.0,92.0
chimore,bo,-16.98,-65.13,23.51,1.16,90.0,44.0
pilar,ph,14.67,120.55,30.0,3.1,78.0,75.0
maine-soroa,ne,13.21,12.02,22.81,1.11,44.0,0.0
port shepstone,za,-30.74,30.45,20.31,4.36,93.0,0.0
saint augustine,us,40.72,-90.41,15.0,3.1,33.0,1.0
batemans bay,au,-35.71,150.18,17.26,1.56,96.0,36.0
peace river,ca,56.23,-117.29,6.0,5.1,100.0,75.0
pontes e lacerda,br,-15.23,-59.33,25.31,1.71,80.0,36.0
santa cruz,cr,10.26,-85.58,31.0,10.8,55.0,40.0
nkhata bay,mw,-11.61,34.3,19.41,1.61,100.0,100.0
nisia floresta,br,-6.09,-35.21,27.0,2.1,83.0,40.0
santiago del estero,ar,-27.8,-64.26,28.96,4.46,53.0,64.0
kushiro,jp,43.11,144.15,11.0,7.2,50.0,40.0
xichang,cn,27.88,102.25,11.56,0.81,66.0,0.0
varvoru,ro,44.23,23.63,12.0,3.1,66.0,0.0
vintileasca,ro,45.61,26.71,11.81,2.96,55.0,0.0
fornosovo,ru,59.57,30.55,3.0,2.0,83.0,75.0
ozernovskiy,ru,51.5,156.52,-0.79,4.71,96.0,88.0
ilkal,in,15.96,76.12,21.96,1.21,56.0,20.0
wonthaggi,au,-38.6,145.59,16.94,1.31,81.0,0.0
constitucion,cl,-35.33,-72.42,12.66,3.21,100.0,44.0
grenaa,dk,56.42,10.88,5.0,3.6,93.0,0.0
manakara,mg,-22.14,48.01,23.24,1.86,100.0,0.0
manta,ec,-0.95,-80.73,24.34,3.31,95.0,0.0
aitape,pg,-3.15,142.36,28.56,2.01,94.0,24.0
faanui,pf,-16.48,-151.75,27.76,3.76,100.0,48.0
langham,ca,52.36,-106.96,15.0,3.1,47.0,90.0
dalby,au,-27.18,151.26,19.0,2.6,72.0,0.0
valparaiso,cl,-33.04,-71.63,13.0,1.5,93.0,0.0
wellington,au,-32.55,148.95,21.0,5.7,56.0,44.0
la ronge,ca,55.1,-105.3,9.0,2.6,57.0,90.0
san blas,mx,21.54,-105.29,27.0,4.1,54.0,40.0
vallenar,cl,-28.58,-70.76,14.96,0.51,91.0,0.0
sibu,my,2.29,111.83,25.0,1.0,100.0,75.0
itambe,br,-15.24,-40.62,18.69,3.41,82.0,88.0
truro,gb,50.26,-5.05,10.0,1.0,100.0,0.0
benalla,au,-36.55,145.99,19.0,1.5,59.0,0.0
along,in,28.17,94.8,16.16,0.36,97.0,100.0
vostok,ru,46.45,135.83,7.34,1.31,53.0,0.0
atocha,bo,-20.93,-66.22,4.06,1.21,57.0,12.0
estremoz,pt,38.84,-7.59,15.16,2.31,93.0,88.0
tupik,ru,54.43,119.94,3.74,1.56,34.0,24.0
ola,ru,59.58,151.3,2.0,2.0,51.0,56.0
asosa,et,10.07,34.53,20.16,2.11,66.0,0.0
kebumen,id,-7.67,109.65,26.56,1.96,98.0,44.0
lashio,mm,22.93,97.75,19.49,1.01,91.0,76.0
kharitonovo,ru,61.4,47.5,-2.92,8.16,74.0,80.0
kloulklubed,pw,7.04,134.26,30.0,3.1,74.0,75.0
aquiraz,br,-3.9,-38.39,27.0,2.1,83.0,0.0
bayeux,fr,49.28,-0.7,15.0,2.1,87.0,0.0
chokurdakh,ru,70.62,147.9,-6.99,2.01,100.0,32.0
krishnarajpet,in,12.65,76.49,19.81,1.21,95.0,68.0
iquitos,pe,-3.75,-73.25,27.0,2.1,78.0,20.0
karlskrona,se,56.16,15.59,6.0,2.1,81.0,0.0
savonlinna,fi,61.87,28.88,0.0,1.5,83.0,90.0
san andres,co,8.22,-76.58,27.21,2.96,94.0,68.0
vila praia de ancora,pt,41.81,-8.85,15.0,0.5,87.0,0.0
sembakung,id,3.82,117.25,24.76,1.31,96.0,36.0
souillac,mu,-20.52,57.52,26.0,4.6,83.0,20.0
kurilsk,ru,45.23,147.88,0.44,6.71,96.0,56.0
rio cuarto,ar,-33.13,-64.35,23.0,4.1,73.0,0.0
beysehir,tr,37.68,31.72,4.49,4.16,97.0,56.0
gerash,ir,27.67,54.14,19.0,0.66,39.0,0.0
beaverlodge,ca,55.21,-119.43,7.0,12.9,48.0,75.0
